代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,10.25,10.25,合理偏低,0.74,医药生物-化学制药-化学制剂,偏弱,18.29,57.13,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.89,7.89,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2128.53,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.76,6.76,合理偏低,0.63,交运设备-汽车-汽车零部件,可持续,10.73,466.6,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.73,6.73,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,6.87,993.09,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.46,6.46,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,55.41,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,6.17,6.17,合理偏低,0.69,轻工制造-家具-家具制造,可持续,17.68,206.99,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,6.16,6.16,合理偏低,0.77,纺织服装-服装家纺-家纺,偏弱,13.31,42.63,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.06,6.06,合理偏低,0.7,公用事业-燃气-燃气,可持续,18.99,582.51,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,6.01,6.01,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3752.17,akshare fhps_detail_em / 腾讯批量
601919,中远海控,5.98,5.98,合理偏低,0.72,交通运输-港口航运-航运,偏弱,13.29,2551.3,akshare fhps_detail_em / 腾讯批量
000423,东阿阿胶,5.93,5.93,合理偏低,0.98,医药生物-中药生产-中药生产,偏弱,16.66,291.76,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.89,5.89,合理偏低,0.9,公用事业-电力-火电,可持续,10.11,1065.9,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.81,5.81,合理偏低,0.56,互联网-互联网服务-游戏娱乐,偏弱,21.43,392.23,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.79,5.79,合理偏低,0.79,金融-银行-股份制与城商行,偏弱,6.84,1784.38,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.68,5.68,低估,0.48,农林牧渔-畜牧业-饲料,可持续,20.07,211.44,akshare fhps_detail_em / 腾讯批量
603444,吉比特,5.62,5.62,低估,0.34,互联网-互联网服务-游戏娱乐,偏弱,33.27,251.36,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.6,5.6,合理偏低,0.73,建筑-建筑施工-专业工程,偏弱,13.82,764.34,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.53,5.53,合理偏低,0.68,交通运输-港口航运-航运,偏弱,18.7,254.32,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.5,5.5,合理偏低,0.79,文化传媒-平面媒体-平面媒体,可持续,11.58,122.89,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.49,5.49,合理偏低,0.8,纺织服装-纺织-印染,可持续,11.25,65.13,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.45,5.45,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,9.44,1355.54,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.41,5.41,合理偏低,0.88,钢铁-钢铁-特钢,可持续,19.04,180.58,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.4,5.4,合理偏低,0.51,金融-银行-股份制与城商行,可持续,7.81,203.28,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.33,5.33,低估,0.5,金融-银行-股份制与城商行,可持续,10.71,111.82,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.31,5.31,合理偏低,0.71,家电-白色家电-白色家电,可持续,19.7,6172.26,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.18,5.18,合理偏低,0.79,食品饮料-食品-乳制品,可持续,21.16,1685.71,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.14,5.14,合理偏低,0.81,公用事业-水务-水务,可持续,12.44,116.78,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.13,5.13,合理偏低,0.54,金融-银行-股份制与城商行,可持续,9.64,104.86,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.08,5.08,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,9.15,2276.31,akshare fhps_detail_em / 腾讯批量
000708,中信特钢,5.03,5.03,合理偏低,0.78,,可持续,13.6,648.06,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.0,5.0,低估,0.46,金融-非银行金融-保险,偏弱,13.47,9774.51,akshare fhps_detail_em / 腾讯批量
