代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,股东总回报率%,总市值(亿),数据来源
000915,华特达因,10.43,10.43,合理偏低,0.73,医药生物-化学制药-化学制剂,偏弱,18.29,6.3,56.17,akshare fhps_detail_em / 腾讯批量
000651,格力电器,7.79,7.79,低估,0.38,家电-白色家电-白色家电,可持续,20.3,16.79,2156.54,akshare fhps_detail_em / 腾讯批量
600741,华域汽车,6.8,6.8,合理偏低,0.62,交运设备-汽车-汽车零部件,可持续,10.73,12.77,463.45,akshare fhps_detail_em / 腾讯批量
600015,华夏银行,6.74,6.74,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,6.87,11.52,991.5,akshare fhps_detail_em / 腾讯批量
002884,凌霄泵业,6.49,6.49,合理偏低,0.65,机械设备-通用设备-其他通用机械,偏弱,19.46,10.17,55.08,akshare fhps_detail_em / 腾讯批量
603365,水星家纺,6.22,6.22,合理偏低,0.76,纺织服装-服装家纺-家纺,偏弱,13.31,11.01,42.21,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.15,6.15,合理偏低,0.69,公用事业-燃气-燃气,可持续,18.99,10.07,573.85,akshare fhps_detail_em / 腾讯批量
601919,中远海控,6.13,6.13,合理偏低,0.7,交通运输-港口航运-航运,偏弱,13.29,12.92,2488.7,akshare fhps_detail_em / 腾讯批量
603816,顾家家居,6.12,6.12,合理偏低,0.7,轻工制造-家具-家具制造,可持续,17.68,13.4,208.75,akshare fhps_detail_em / 腾讯批量
000423,东阿阿胶,5.99,5.99,合理偏低,0.97,医药生物-中药生产-中药生产,偏弱,16.66,4.02,288.88,akshare fhps_detail_em / 腾讯批量
601166,兴业银行,5.96,5.96,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,11.87,3783.92,akshare fhps_detail_em / 腾讯批量
002555,三七互娱,5.93,5.93,合理偏低,0.55,互联网-互联网服务-游戏娱乐,偏弱,21.43,10.94,384.49,akshare fhps_detail_em / 腾讯批量
600011,华能国际,5.93,5.93,合理偏低,0.89,公用事业-电力-火电,可持续,10.11,6.31,1058.05,akshare fhps_detail_em / 腾讯批量
601818,光大银行,5.83,5.83,合理偏低,0.79,金融-银行-股份制与城商行,偏弱,6.84,10.63,1772.57,akshare fhps_detail_em / 腾讯批量
600873,梅花生物,5.82,5.82,低估,0.47,农林牧渔-畜牧业-饲料,偏弱,20.07,18.21,206.39,akshare fhps_detail_em / 腾讯批量
603565,中谷物流,5.73,5.73,合理偏低,0.65,交通运输-港口航运-航运,偏弱,18.7,11.65,245.5,akshare fhps_detail_em / 腾讯批量
600039,四川路桥,5.71,5.71,合理偏低,0.71,建筑-建筑施工-专业工程,偏弱,13.82,11.08,748.69,akshare fhps_detail_em / 腾讯批量
600987,航民股份,5.55,5.55,合理偏低,0.79,纺织服装-纺织-印染,可持续,11.25,11.47,64.41,akshare fhps_detail_em / 腾讯批量
601229,上海银行,5.47,5.47,合理偏低,0.59,金融-银行-股份制与城商行,偏弱,9.44,12.01,1351.28,akshare fhps_detail_em / 腾讯批量
000719,中原传媒,5.46,5.46,合理偏低,0.79,文化传媒-平面媒体-平面媒体,可持续,11.58,11.47,123.71,akshare fhps_detail_em / 腾讯批量
601997,贵阳银行,5.45,5.45,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,11.63,201.09,akshare fhps_detail_em / 腾讯批量
002318,久立特材,5.43,5.43,合理偏低,0.88,钢铁-钢铁-特钢,可持续,19.04,12.3,179.8,akshare fhps_detail_em / 腾讯批量
002807,江阴银行,5.29,5.29,合理偏低,0.51,金融-银行-股份制与城商行,可持续,10.71,13.09,112.63,akshare fhps_detail_em / 腾讯批量
000001,平安银行,5.27,5.27,合理偏低,0.55,金融-银行-股份制与城商行,偏弱,9.15,11.95,2192.87,akshare fhps_detail_em / 腾讯批量
000333,美的集团,5.2,5.2,合理偏低,0.72,家电-白色家电-白色家电,可持续,19.7,9.4,6306.06,akshare fhps_detail_em / 腾讯批量
600461,洪城环境,5.2,5.2,合理偏低,0.8,公用事业-水务-水务,可持续,12.44,11.61,115.44,akshare fhps_detail_em / 腾讯批量
002839,张家港行,5.18,5.18,合理偏低,0.54,金融-银行-股份制与城商行,可持续,9.64,12.02,103.88,akshare fhps_detail_em / 腾讯批量
600887,伊利股份,5.13,5.13,合理偏低,0.79,食品饮料-食品-乳制品,可持续,21.16,10.03,1701.52,akshare fhps_detail_em / 腾讯批量
601318,中国平安,5.07,5.07,低估,0.45,金融-非银行金融-保险,偏弱,13.47,13.72,9642.32,akshare fhps_detail_em / 腾讯批量
